Country_Code,Year,Population,Gdp
AFG,1980,13356500.0,
ALB,1980,2671997.0,
DZA,1980,19221659.0,
ASM,1980,32648.0,
AGO,1980,8341290.0,
ATA,1980,,
ATG,1980,61861.0,
ARG,1980,27896532.0,453.819
ARM,1980,3099759.0,
ABW,1980,60097.0,
AUS,1980,14692000.0,373.5762
AUT,1980,7549433.0,212.4871
AZE,1980,6150735.0,
BHR,1980,359897.0,
BGD,1980,79639498.0,
BRB,1980,252388.0,
BLR,1980,9643000.0,
BEL,1980,9859242.0,267.9961
BLZ,1980,144142.0,
BEN,1980,3717161.0,
BMU,1980,54670.0,
BTN,1980,406883.0,0.537717
BOL,1980,5579932.0,
BIH,1980,4179850.0,
BWA,1980,897860.0,3.928214
BRA,1980,120694012.0,1305.131
VGB,1980,11471.0,
BRN,1980,193880.0,
BGR,1980,8861535.0,63.5641
BFA,1980,6822837.0,
BDI,1980,4157296.0,
CPV,1980,283848.0,
KHM,1980,6693759.0,
CMR,1980,8621409.0,
CAN,1980,24515667.0,693.884
CYM,1980,16207.0,
CAF,1980,2199359.0,
TCD,1980,4514427.0,
CHL,1980,11419350.0,81.1711
CHN,1980,981235000.0,684.621
COL,1980,26900508.0,
COM,1980,307831.0,
COG,1980,1777932.0,
COD,1980,26358905.0,
COK,1980,,
CRI,1980,2389973.0,
HRV,1980,4599782.0,
CUB,1980,9849457.0,
CYP,1980,685408.0,
CZE,1980,10304193.0,
CIV,1980,8033652.0,
DNK,1980,5123027.0,151.3587
DJI,1980,358960.0,
DMA,1980,75318.0,
DOM,1980,5803929.0,
ECU,1980,7989178.0,
EGY,1980,43309063.0,
SLV,1980,4591135.0,
GNQ,1980,249931.0,
ERI,1980,1733423.0,
EST,1980,1477219.0,
SWZ,1980,587852.0,
ETH,1980,35141703.0,
FLK,1980,,
FRO,1980,43339.0,
FJI,1980,635312.0,
FIN,1980,4779535.0,116.3519
CSK,1980,,
SCG,1980,,
SUN,1980,,
YUG,1980,,
FRA,1980,55161510.0,1448.684
GUF,1980,,
PYF,1980,153298.0,
GAB,1980,726335.0,
GEO,1980,4467700.0,
DEU,1980,78288576.0,
GHA,1980,11056112.0,
GIB,1980,30068.0,
GRC,1980,9642505.0,219.2126
GRL,1980,50200.0,2.50986
GRD,1980,89032.0,
GLP,1980,336683.0,
GUM,1980,104134.0,
GTM,1980,6890346.0,
GIN,1980,4871446.0,
GNB,1980,781678.0,1.1676
GUY,1980,780153.0,
HTI,1980,5643175.0,
HND,1980,3678274.0,
HKG,1980,5063100.0,84.5737
HUN,1980,10711122.0,
ISL,1980,228138.0,
IND,1980,698952837.0,927.043
IDN,1980,147447834.0,417.96
IRN,1980,38650244.0,
IRQ,1980,13653348.0,
IRL,1980,3412800.0,62.5879
ISR,1980,3878000.0,
ITA,1980,56433883.0,1511.416
